Feature,Importance
num__F321,0.000459117
num__F3641,0.0004576246
num__F1058,0.0004555187
num__F319,0.00045277586
cat__F3888_11-3-2015,0.00044731522
num__F889,0.00044514725
num__F2380,0.00044439317
num__F3825,0.0004317943
num__F1101,0.00043060185
num__F963,0.0004284386
num__F1601,0.00042291672
num__F451,0.00041773185
num__F2635,0.00041361383
num__F2065,0.00041335044
num__F2227,0.0004123373
num__F1608,0.0004088848
num__F3727,0.0004073075
cat__F3888_9-18-2017,0.0004059388
num__F3505,0.00040541348
num__F2387,0.00040341832
num__F164,0.00040017779
num__F424,0.00039882222
num__F1003,0.00039610552
num__F1612,0.00038731782
num__F2739,0.00038691823
num__F1167,0.0003863187
num__F148,0.0003855874
num__F1821,0.00038376555
num__F957,0.000382936
num__F1816,0.00038078034
num__F3643,0.00037577833
num__F1602,0.00037428955
num__F573,0.0003739722
num__F1743,0.000368317
num__F625,0.0003671626
num__F1853,0.0003670049
num__F3487,0.00036639505
num__F3634,0.00036609787
num__F2791,0.0003657656
num__F1041,0.00036512603
num__F2538,0.0003545411
num__F2342,0.00035289428
num__F1967,0.00035110564
num__F2737,0.00034973572
num__F2176,0.00034960412
num__F3749,0.00034854817
num__F255,0.00034471016
num__F3832,0.00034338367
num__F3522,0.00034017948
num__F1028,0.00034015812
num__F1643,0.00033948652
num__F117,0.00033869292
num__F1282,0.0003383336
num__F1830,0.00033780865
cat__F3891_student,0.00032668348
num__F1588,0.00032070125
num__F1095,0.00031671982
num__F966,0.00031521896
num__F3819,0.0003147008
num__F1709,0.0003139441
num__F3867,0.00031365125
num__F530,0.00031303163
num__F2952,0.00031294103
num__F3871,0.00030987654
num__F3852,0.00030935014
num__F1215,0.00030846903
num__F2955,0.000307113
num__F220,0.0003062993
num__F99,0.00030048977
num__F261,0.00029977618
num__F1077,0.00029820282
num__F510,0.00029810125
num__F556,0.00029388894
num__F2352,0.0002934762
num__F1231,0.0002908156
num__F1956,0.00028548617
num__F967,0.00028320195
num__F577,0.0002809487
num__F3804,0.0002800494
num__F945,0.00027828562
num__F3055,0.00027790232
num__F2293,0.00027651517
num__F3790,0.00027469962
num__F1690,0.00027432505
num__F420,0.00027296526
num__F369,0.0002711635
num__F1179,0.000270723
num__F3595,0.00027033695
num__F1614,0.00026977225
num__F3859,0.00026842882
num__F2077,0.00026796013
num__F2484,0.0002673327
num__F2577,0.00026661702
num__F3108,0.00026392192
num__F259,0.00026287127
num__F324,0.00026115146
num__F268,0.0002607779
num__F3817,0.00025784006
num__F2084,0.00025514676
num__F2634,0.00025341788
cat__F3890_M,0.00024611407
num__F114,0.00024586153
num__F1014,0.00024364537
num__F102,0.00024358265
num__F55,0.00024137514
num__F2543,0.00024002655
num__F63,0.00023853873
num__F3739,0.00023816878
num__F2785,0.000236863
num__F3839,0.00023434056
num__F2998,0.00023289022
num__F1172,0.00022903309
num__F3504,0.0002262451
num__F1656,0.0002259613
cat__F3889_L180D,0.00022553853
num__F1725,0.00022443583
num__F367,0.00022436785
num__F3520,0.00022396543
num__F409,0.00022087844
num__F2047,0.00022080663
num__F2158,0.00022039544
num__F1848,0.00021876187
num__F453,0.00021849711
num__F223,0.00021503038
num__F454,0.00021400559
num__F1930,0.00021362113
num__F1924,0.00021275746
num__F3742,0.00020826372
num__F1635,0.00020500438
num__F3658,0.00020305304
num__F2792,0.00019682148
num__F2067,0.0001962102
num__F224,0.00019536626
num__F1831,0.00019313366
num__F3663,0.00019304904
num__F2581,0.00019289213
num__F1751,0.00019245294
num__F60,0.00019145438
num__F1760,0.00019105061
num__F1322,0.00019076728
num__F3635,0.00019019355
num__F3771,0.00018769313
num__F1617,0.00018688661
num__F1704,0.00018679848
num__F1288,0.00018323088
