Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Logistic Regression,0.8701155751238305,0.06,0.9375,0.11278195488721804,0.8935660744031094,0.04332514175972395
Random Forest,0.9966978536048432,1.0,0.625,0.7692307692307693,0.9964602998334259,0.8784518623907649
XGBoost,0.9983489268024216,1.0,0.8125,0.896551724137931,0.9989936146585231,0.9534028727770179
